_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
325058,3366164,23000286,10,2023-01-01T05:16:00,"Regina ST Pittsburgh, PA 15203",Y,South Side Slopes,3,SIMPLE ASSAULT/INJURY,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1706,3,3,-79.98552909973948,40.42292468523916
325060,3366168,23000292,6,2023-01-01T02:42:00,"1700 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM BUILDING,2701 Simple Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1702,3,3,-79.98187231372171,40.42859317552536
325062,3366172,23000318,18,2023-01-01T07:54:00,"7000 Block Kelly ST Pittsburgh, PA 15208",N,Homewood South,5,MARIJUANA-POSSESS,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,1303,9,2,-79.90181463543018,40.45661205797756
325063,3366177,23000319,99,2023-01-01T07:07:00,"1500 Block Oakdene ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,NA,9497 Aided Case,1202,9,2,-79.89089154261632,40.46541384692843
325064,3366178,23000320,14,2023-01-01T07:40:00,"200 Block Osage LANE Pittsburgh, PA 15208",N,Point Breeze,4,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1406,9,3,-79.90263210675782,40.44936453495164
325065,3366179,23000327,10,2023-01-01T06:42:00,"600 Block Ennis ST Pittsburgh, PA 15211",N,Mount Washington,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1914,,,,
325066,3366181,23000333,99,2023-01-01T08:28:00,"1300 Block Pocono ST Pittsburgh, PA 15218",Y,Swisshelm Park,4,NA,9496 Dead on Arrival (DOA),1411,5,3,-79.90175835392213,40.41933863020321
325067,3366182,23000337,5,2023-01-01T05:35:00,"800 Block Pennsylvania AV Pittsburgh, PA 15233",N,California-Kirkbride,1,BURGLARY/FORCE ENT/NON-RES,3502 Burglary.,2507,6,1,-80.01538856110406,40.45610555571586
325069,3366185,23000347,14,2023-01-01T09:10:00,"3400 Block Webster AV Pittsburgh, PA 15219",N,Upper Hill,2,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,506,6,3,-79.9616500933705,40.45485487361505
325070,3366186,23000354,99,2023-01-01T09:44:00,"200 Block East Ohio ST Pittsburgh, PA 15212",Y,Allegheny Center,1,NA,9999 Miscellaneous Report (No Crime),2204,,,,
325072,3366188,23000367,99,2023-01-01T10:12:00,"700 Block Bucyrus ST Pittsburgh, PA 15220",Y,Elliott,6,NA,9998 Overdose Other,2020,2,5,-80.03989118709354,40.44566163178197
325074,3366190,23000370,6,2023-01-01T00:01:00,"1500 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM BUILDING,3921 Theft by Unlawful Taking or Disposition.,1702,3,3,-79.98331001737412,40.42869280365664
325075,3366191,23000375,14,2023-01-01T10:00:00,"400 Block S Braddock AV Pittsburgh, PA 15221",N,Point Breeze,4,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1406,9,3,-79.89728144209106,40.444004092302144
325076,3366192,23000376,26,2023-01-01T10:41:00,"300 Block Chapin ST Pittsburgh, PA 15214",Y,Summer Hill,1,PROTECTIVE ORDERS,9093 Indirect Criminal Contempt,2612,1,1,-80.00662326861675,40.48923796726549
325077,3366193,23000380,99,2023-01-01T10:40:00,"5700 Block Beacon ST Pittsburgh, PA 15217",Y,Squirrel Hill South,4,NA,9999 Miscellaneous Report (No Crime),1413,,,,
325078,3366195,23000383,99,2023-01-01T00:30:00,"800 Block Saw Mill Run BL Pittsburgh, PA 15226",N,Bon Air,3,NA,3743 Accidents Involving Damage to Attended Veh. or Property,1806,,,,
325079,3366197,23000389,7,2023-01-01T06:30:00,"900 Block Tyndall ST Pittsburgh, PA 15204",N,Sheraden,6,MTR VEH THEFT (AUTO),3921(a) Theft by Unlawful Taking or Disposition - Movable item,2022,2,5,-80.05744097477861,40.45359554412315
325080,3366200,23000394,99,2023-01-01T11:50:00,"2500 Block Mission ST Pittsburgh, PA 15203",N,South Side Slopes,3,NA,9123 Miscellaneous Fire Other Investigation to Continue,1608,3,3,-79.97206592595883,40.42282639161343
325081,3366202,23000397,14,2023-01-01T11:50:00,"2100 Block Brownsville RD Pittsburgh, PA 15210",Y,Carrick,3,CRIMINAL MISCHIEF,9999 Miscellaneous Report (No Crime),2902,4,3,-79.98652355354913,40.3931998334253
325083,3366204,23000408,99,2023-01-01T01:00:00,"2400 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,3,3,-79.97086068651069,40.42788269881993
325086,3366207,23000414,14,2023-01-01T12:38:00,"1000 Block Woodbourne AV Pittsburgh, PA 15226",N,Brookline,6,CRIMINAL MISCHIEF (AUTO),"3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",1918,4,5,-80.0185416657594,40.39033139225684
325087,3366208,23000430,15,2023-01-01T13:23:00,"2600 Block Glen Mawr ST Pittsburgh, PA 15204",Y,Sheraden,6,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,2018,2,5,-80.04653526146008,40.452284513639626
325088,3366212,23000438,99,2023-01-01T14:55:00,"2600 Block Centre AV Pittsburgh, PA 15219",Y,Middle Hill,2,NA,9497 Aided Case,501,6,3,-79.96837961652612,40.446506072952616
325089,3366213,23000441,6,2023-01-01T12:00:00,"2400 Block Palm Beach AV Pittsburgh, PA 15216",N,Beechview,6,THEFT/ALL OTHERS,3921 Theft by Unlawful Taking or Disposition.,1920,4,5,-80.02609552432757,40.401129505205745
325090,3366214,23000447,14,2023-01-01T14:00:00,"100 Block Rhine PL Pittsburgh, PA 15212",N,Spring Hill-City View,1,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2620,1,1,-79.99204184514898,40.46535964895462
325091,3366216,23000457,99,2023-01-01T04:00:00,"900 Block Eureka ST Pittsburgh, PA 15210",Y,Allentown,3,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1803,3,5,-79.99174704126068,40.423787599888485
325092,3366217,23000449,11,2023-01-01T14:38:00,"1500 Block Brighton RD Pittsburgh, PA 15212",N,California-Kirkbride,1,IDENTITY THEFT,4120 Identity Theft,2507,6,1,-80.01656850562077,40.45687440924445
325093,3366218,23000459,6,2023-01-01T15:00:00,"S 11th ST & Bingham ST Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3304 Criminal Mischief. / 3934 Theft from Vehicle,1702,3,3,-79.98752841697488,40.42940144792172
325094,3366250,23009759,1,2023-01-19T14:18:00,"700 Block Liberty AV Pittsburgh, PA 15222",Y,Central Business District,2,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,201,6,6,-79.99985637433716,40.44244574595663
325095,3366263,23013253,1,2023-01-26T09:19:00,"Bond ST & Herrod ST Pittsburgh, PA 15220",N,Elliott,6,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,2020,2,5,-80.04017274442555,40.44843368493047
325113,3366321,23000005,15,2023-01-01T00:01:00,"100 Block E Agnew AV Pittsburgh, PA 15210",Y,Carrick,3,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,2902,4,3,-79.98602073796496,40.395221789660745
325114,3366322,23000007,26,2023-01-01T01:00:00,"1700 Block Belleau DR Pittsburgh, PA 15212",Y,Fineview,1,ALL OTHER OFFENSES(EXPT TRAFF),607.03 Discharging Firearm or Airgun,2509,6,1,-80.00698339373714,40.46031055249301
325115,3366323,23000009,6,2023-01-01T00:15:00,"1500 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM BUILDING,3921 Theft by Unlawful Taking or Disposition.,1702,3,3,-79.98331001737412,40.42869280365664
325116,3366324,23000012,15,2023-01-01T00:11:00,"1200 Block Faust ST Pittsburgh, PA 15204",Y,Sheraden,6,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,2022,2,5,-80.0657169786629,40.45647051926136
325117,3366325,23000016,99,2023-01-01T00:16:00,"700 Block E Warrington AV Pittsburgh, PA 15210",Y,Allentown,3,NA,9496 Dead on Arrival (DOA),1803,3,5,-79.99548870531873,40.421518980388285
325118,3366326,23000025,15,2023-01-01T00:23:00,"800 Block Delmont AV Pittsburgh, PA 15210",N,Beltzhoover,3,WEAPONS-CARRY/POS-OTHER,607.03 Discharging Firearm or Airgun / 8106 Shots Fired,1809,3,5,-80.00411550601785,40.41574412098975
325119,3366327,23000028,22,2023-01-01T00:20:00,"100 Block Oakland AV Pittsburgh, PA 15213",Y,Central Oakland,4,PUR/CON/POS/TRAN-INTOX BEVERAG,"6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",405,3,3,-79.95782624814785,40.44220256270843
325120,3366328,23000030,14,2023-01-01T00:35:00,"Virginia AV & Shiloh ST Pittsburgh, PA 15211",N,Mount Washington,3,CRIMINAL MISCHIEF,3304 Criminal Mischief.,1914,2,5,-80.00734048177202,40.42947394497941
325121,3366329,23000033,10,2023-01-01T00:29:00,"Hale ST & Frankstown AV Pittsburgh, PA 15235",Y,Homewood South,5,RECKLESSLY ENDANGER ANOTH PER,"2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1304,9,2,-79.88643998180592,40.45515868529205
325122,3366330,23000050,10,2023-01-01T00:42:00,"S 24th ST & E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2706 Terroristic Threats. / 2709(a) Harassment. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1609,3,3,-79.97117078559786,40.42821920070797
325123,3366332,23000082,99,2023-01-01T00:30:00,"200 Block North Shore DR Pittsburgh, PA 15212",N,Bluff,1,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,103,1,1,-80.00888146282932,40.45523228138285
325124,3366333,23000089,15,2023-01-01T01:01:00,"1700 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,1702,3,3,-79.98187231372171,40.42859317552536
325125,3366334,23000129,10,2023-01-01T01:19:00,"S Negley AV & 5th AV Pittsburgh, PA 15232",Y,Squirrel Hill North,4,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1402,8,3,-79.92964956751787,40.44983504519785
325126,3366335,23000141,15,2023-01-01T01:47:00,"6600 Block Rowan ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,1203,9,2,-79.90453847798456,40.465118279998386
325127,3366336,23000142,99,2023-01-01T01:41:00,"Penn AV & 5th AV Pittsburgh, PA 15206",N,Shadyside,4,NA,3743 Accidents Involving Damage to Attended Veh. or Property,708,9,3,-79.9124269106995,40.45404526751021
325128,3366337,23000145,99,2023-01-01T01:42:00,"Birmingham BRDG Pittsburgh, PA 15217",Y,Crawford-Roberts,4,NA,9498 302 (Mental),305,,,,
325129,3366339,23000151,10,2023-01-01T01:34:00,"300 Block North Shore DR Pittsburgh, PA 15212",Y,North Shore,1,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 6106 Firearms not to be Carried without a License. / 6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF",2205,1,1,-80.00963634833073,40.454910355312705
325130,3366340,23000152,23,2023-01-01T01:50:00,"300 Block North Shore DR Pittsburgh, PA 15212",Y,North Shore,1,PUBLIC DRUNKENESS,5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2205,1,1,-80.00963634833073,40.454910355312705
325131,3366341,23000154,21,2023-01-01T02:02:00,"Becks Run RD & E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,DRIVING UNDER INFLUENCE,13(a)(32) Paraphernalia - Use or Possession / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment,1609,3,3,-79.95552669618166,40.41103255176919
325132,3366344,23000158,26,2023-01-01T01:30:00,"Bedford AV & Peach WY Pittsburgh, PA 15219",N,Crawford-Roberts,2,ALL OTHER OFFENSES(EXPT TRAFF),5506 Loitering and Prowling at Night / 607.03 Discharging Firearm or Airgun,305,6,3,-79.98668215326994,40.44471031875971
325133,3366345,23000161,10,2023-01-01T02:00:00,"S 12th ST & Sarah ST Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1702,3,3,-79.98636234570994,40.42774629510358
325134,3366346,23000184,9,2023-01-01T02:17:00,"1300 Block Stranmore ST Pittsburgh, PA 15212",Y,California-Kirkbride,1,TAMPER WITH/FAB PHYS EVIDENCE,4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License.,2507,6,1,-80.02608334411791,40.46062179813523
325135,3366348,23000207,22,2023-01-01T02:38:00,"1400 Block E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,PUR/CON/POS/TRAN-INTOX BEVERAG,"5503 Disorderly Conduct. / 5505 Public Drunkenness / 6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",1702,3,3,-79.98403429331502,40.428656560355705
325136,3366350,23000213,10,2023-01-01T02:50:00,"700 Block Mt Pleasant RD Pittsburgh, PA 15214",N,Northview Heights,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2609,1,1,-79.99824125898348,40.47599977002789
325137,3366352,23000222,10,2023-01-01T03:37:00,"400 Block Suncrest ST Pittsburgh, PA 15210",Y,Knoxville,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,3001,3,5,-79.99499234867257,40.41118950721099
325138,3366353,23000224,10,2023-01-01T03:01:00,"600 Block William Penn PL Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201,6,6,-79.99676213405519,40.44114128169353
325139,3366354,23000227,7,2023-01-01T02:30:00,"7800 Block Hamilton AV Pittsburgh, PA 15208",N,Homewood South,5,MTR VEH THEFT (AUTO),3921 Theft by Unlawful Taking or Disposition.,1304,9,2,-79.8874584891841,40.45219898390107
325140,3366357,23000229,99,2023-01-01T03:05:00,"Frankstown AV & 5th AV Pittsburgh, PA 15208",Y,Homewood West,5,NA,9497 Aided Case,1207,9,2,-79.90804350961197,40.45868180509895
325141,3366358,23000243,99,2023-01-01T03:37:00,"600 Block Liberty AV Pittsburgh, PA 15222",Y,Middle Hill,2,NA,9497 Aided Case,501,6,6,-80.00162376467925,40.441780954713906
325142,3366359,23000250,99,2023-01-01T03:48:00,"3800 Block Ohara ST Pittsburgh, PA 15213",Y,West Oakland,4,NA,9501 Bench Warrant,402,,,,
325143,3366360,23000263,21,2023-01-01T04:20:00,"400 Block Glenwood BRDG Pittsburgh, PA 15207",Y,Hazelwood,4,DRIVING UNDER INFLUENCE,1501(A) Valid Driver's License Required / 3802(a)(1) DUI - General Impairment,1515,,,,
325145,3366362,23000265,3,2023-01-01T04:29:00,"5100 Block Bigelow BL Pittsburgh, PA 15213",N,North Oakland,4,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 9125 Possible  Stolen Car Recovered / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,403,,,,
325146,3366365,23000639,24,2023-01-02T01:00:00,"36th ST & Denny ST Pittsburgh, PA 15201",Y,Central Business District,2,DISORDERLY CONDUCT,5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,201,7,2,-79.96411721525686,40.463307285077164
325147,3366366,23000646,10,2023-01-02T00:31:00,"2600 Block Brackenridge ST Pittsburgh, PA 15219",Y,Terrace Village,2,SIMPLE ASSAULT/INJURY,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,510,6,3,-79.96627468118409,40.44686304854702
325148,3366368,23000655,26,2023-01-02T01:10:00,"100 Block S 18th ST Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC NUISANCES,615.02 Public Nuisances / 9133 Noise Complaint - No Citation / 670.02  (a) Disruptive activity prepetrataed/caused/permitted on property by owner(s)/tenant(s)/occupant(s)/invitee(s) of the property,1702,3,3,-79.98083612019441,40.4281392487418
325149,3366369,23000656,99,2023-01-02T01:12:00,"Perrysville AV & E Mc Intyre AV Pittsburgh, PA 15214",Y,Perry South,1,NA,4303 General Lighting Requirements. / 4524 Windshield Obstructions and Wipers.,2614,6,1,-80.00958960401009,40.46876213079663
325150,3366370,23000662,15,2023-01-02T01:24:00,"W Carson ST & West End CIR Pittsburgh, PA 15219",Y,South Shore,3,PROHIBITED OFFENSIVE WEAPONS,907 Possessing Instruments of Crime. / 908 Prohibited Offensive Weapons. / 6106 Firearms not to be Carried without a License. / 1301 Registration and Certificate of Title Required. / 3334 Turning Movements and Required Signals. / 3361  Driving Vehicle at Safe Speed. / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving / 13(a)(31) Marijuana: Possession Small Amount,1921,,,,
325151,3366373,23000665,15,2023-01-02T01:48:00,"Knox AV & Dove WY Pittsburgh, PA 15210",N,Knoxville,3,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,3001,3,5,-79.99053696572567,40.414742566832345
325152,3366375,23000670,18,2023-01-02T03:11:00,"300 Block Cedar AV Pittsburgh, PA 15212",Y,East Allegheny,1,OPIUM/COCAINE/DERV-POSSESS,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,2304,1,1,-80.0009078039902,40.450893559943644
325153,3366377,23000671,15,2023-01-02T02:36:00,"Davenport ST Pittsburgh, PA 15219",N,Middle Hill,2,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,501,6,3,-79.98006593618754,40.444583417184276
325154,3366378,23000679,15,2023-01-02T03:08:00,"700 Block Calcutta WY Pittsburgh, PA 15220",N,Elliott,6,WEAPONS-CARRY/POS-OTHER,8106 Shots Fired,2020,,,,
325155,3366379,23000685,99,2023-01-02T03:43:00,"900 Block W North AV Pittsburgh, PA 15233",Y,Central North Side,1,NA,1785 Proof of Financial Responsibility Following Accident. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department,2206,1,1,-80.01744704292052,40.45357466185038
325157,3366381,23000712,5,2023-01-02T06:10:00,"2100 Block Murray AV Pittsburgh, PA 15217",N,Squirrel Hill South,4,BURGLARY/NO FORCE/RES,3502 Burglary.,1413,5,3,-79.92323754745422,40.433514196571934
325158,3366382,23000721,24,2023-01-02T07:20:00,"400 Block Taylor ST Pittsburgh, PA 15224",N,Bloomfield,5,HARRASSMENT BY COMUN/ADDRESS,9999 Miscellaneous Report (No Crime),802,7,2,-79.95201254543274,40.46141253144746
325159,3366383,23000731,14,2023-01-02T06:58:00,"1500 Block Rockland AV Pittsburgh, PA 15216",N,Beechview,6,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1916,4,5,-80.02036781481688,40.41203819237264
325175,3366461,23000734,99,2023-01-02T07:27:00,"200 Block Institute ST Pittsburgh, PA 15210",Y,Bon Air,3,NA,9999 Miscellaneous Report (No Crime),1806,,,,
325176,3366462,23000742,7,2023-01-02T01:36:00,"1000 Block Brownsville RD Pittsburgh, PA 15210",N,Carrick,3,MTR VEH THEFT (AUTO),3921 Theft by Unlawful Taking or Disposition.,2902,4,3,-79.99172953136424,40.405989609874574
325177,3366465,23000747,6,2023-01-02T09:35:00,"800 Block Heberton ST Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3304 Criminal Mischief. / 3934 Theft from Vehicle,1106,7,2,-79.916651696825,40.46865738969623
325178,3366466,23000754,6,2023-01-02T09:30:00,"800 Block Collins AV Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1106,,,,
325179,3366467,23000758,6,2023-01-02T10:10:00,"800 Block Collins AV Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1106,,,,
325180,3366468,23000759,11,2023-01-02T10:20:00,"1000 Block Murray Hill AV Pittsburgh, PA 15232",N,Squirrel Hill North,4,IDENTITY THEFT,4106 Access Device Fraud / 4120 Identity Theft,1402,,,,
325182,3366472,23000762,99,2023-01-01T08:00:00,"Sarah ST & S 16th ST Pittsburgh, PA 15203",N,South Side Flats,3,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.98287442071128,40.42761467656818
325183,3366473,23000772,10,2023-01-01T23:30:00,"E Carson ST & S 12th ST Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1702,3,3,-79.98642550573209,40.428757611915906
325184,3366474,23000781,6,2023-01-02T11:22:00,"5600 Block Baum BL Pittsburgh, PA 15232",N,Friendship,5,RETAIL THEFT (SHOPLIFTING),3921(a) Theft by Unlawful Taking or Disposition - Movable item,807,,,,
325185,3366477,23000786,99,2023-01-02T12:17:00,"1600 Block Sterling ST Pittsburgh, PA 15210",Y,South Side Slopes,3,NA,9498 302 (Mental),1608,3,3,-79.97434878787612,40.41822594680694
325186,3366478,23000787,6,2023-01-02T11:30:00,"200 Block Burrows ST Pittsburgh, PA 15213",N,Terrace Village,2,THEFT/ALL OTHERS,3921(a) Theft by Unlawful Taking or Disposition - Movable item,510,6,3,-79.96809510656745,40.438572485065094
325187,3366479,23000789,10,2023-01-02T11:54:00,"Crawford ST & Centre AV Pittsburgh, PA 15219",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,3925 Receiving Stolen Property. / 5104 Resisting Arrest or Other Law Enforcement. / 6106 Firearms not to be Carried without a License. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility. / 3111 Obedience to Traffic-Control Devices. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,201,6,6,-79.98601320927233,40.44103761287608
325188,3366484,23000791,6,2023-01-02T10:30:00,"100 Block Ulysses ST Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1903,2,5,-80.01191562087888,40.43485854353043
325191,3366487,23000796,99,2023-01-02T12:07:00,"1200 Block Pennsylvania AV Pittsburgh, PA 15233",Y,Manchester,1,NA,9018 Accidental Fire,2107,6,1,-80.0226308969092,40.454887810081274
325192,3366488,23000797,99,2023-01-02T12:18:00,"2700 Block Banksville AV Pittsburgh, PA 15216",Y,Banksville,6,NA,9999 Miscellaneous Report (No Crime),2023,2,5,-80.0384737309237,40.40583674841515
325193,3366489,23000802,99,2023-01-02T12:30:00,"900 Block Mellon ST Pittsburgh, PA 15206",Y,Highland Park,5,NA,9012 Non-Violent Domestic,1102,7,2,-79.92416323761297,40.47235763969204
325195,3366491,23000806,24,2023-01-02T12:40:00,"400 Block William ST Pittsburgh, PA 15211",Y,Mount Washington,3,HARRASSMENT BY COMUN/ADDRESS,9999 Miscellaneous Report (No Crime),1807,,,,
325196,3366492,23000464,6,2023-01-01T15:10:00,"S 22nd ST & Mary ST Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3304 Criminal Mischief. / 3934 Theft from Vehicle,1609,3,3,-79.97490883666374,40.425720610642436
325197,3366493,23000491,14,2023-01-01T15:50:00,"600 Block Elmore ST Pittsburgh, PA 15219",N,Middle Hill,2,CRIMINAL MISCHIEF (AUTO),3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,501,,,,
325199,3366495,23000498,99,2023-01-01T16:38:00,"1100 Block Greenfield AV Pittsburgh, PA 15217",N,Greenfield,4,NA,9496 Dead on Arrival (DOA),1517,5,3,-79.9300133492648,40.42165612160685
325200,3366497,23000499,99,2023-01-01T08:00:00,"Garrison PL & French ST Pittsburgh, PA 15222",N,Central Business District,2,NA,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,6,6,-79.99763592254234,40.44451976289831
325201,3366498,23000509,99,2023-01-01T16:55:00,"700 Block Mercer ST Pittsburgh, PA 15219",Y,Crawford-Roberts,2,NA,9497 Aided Case,305,,,,
